Nome,Semana,Link,Data,Plataforma,Formato,Engajamento,Taxa de Engajamento,Impressoes,Visualizacoes,Likes,Comentarios,Compartilhamentos,VMG
Abilio Brunini,14-20 MAR/24,https://www.tiktok.com/@abiliobrunini/video/7346638555185155334,15-03-2024,TikTok,Vídeo,134,0.0668,0.0,2006.0,129,3.0,2.0,374.34
Abilio Brunini,14-20 MAR/24,https://www.youtube.com/watch?v=Hg9-2q0j45c,15-03-2024,YouTube,Vídeo,23,0.217,0.0,106.0,22,1.0,0.0,102.94
Abilio Brunini,14-20 MAR/24,https://www.instagram.com/reel/C4iuWzEudxZ/,15-03-2024,Instagram,Reels,1075,0.005,54150.0,0.0,1009,66.0,0.0,2600.27
Abilio Brunini,14-20 MAR/24,https://www.tiktok.com/@abiliobrunini/video/7347029614327254278,16-03-2024,TikTok,Vídeo,24010,0.1055,0.0,227482.0,18563,2411.0,3036.0,64893.58
Abilio Brunini,14-20 MAR/24,https://www.instagram.com/reel/C4lb7DVOEqO/,16-03-2024,Instagram,Reels,14893,0.0687,54176.0,0.0,13858,1035.0,0.0,21112.3
Abilio Brunini,14-20 MAR/24,https://twitter.com/user/status/1769069049869123633,16-03-2024,Twitter,Vídeo,3618,0.8204,4410.0,0.0,2893,0.0,725.0,5950.21
Abilio Brunini,14-20 MAR/24,https://www.youtube.com/watch?v=1ZASOIAOJWs,18-03-2024,YouTube,Vídeo,1427,0.0717,0.0,19905.0,1332,95.0,0.0,11243.55
Abilio Brunini,14-20 MAR/24,https://www.tiktok.com/@abiliobrunini/video/7348135370007072005,19-03-2024,TikTok,Vídeo,95341,0.0832,0.0,1146604.0,92995,1213.0,1133.0,225105.02
Abilio Brunini,14-20 MAR/24,https://www.instagram.com/reel/C4tHXtrukhv/,19-03-2024,Instagram,Reels,42200,0.1881,56079.0,0.0,41709,491.0,0.0,40918.39
Abilio Brunini,14-20 MAR/24,https://twitter.com/user/status/1770148182418206733,19-03-2024,Twitter,Vídeo,3333,0.7558,4410.0,0.0,2715,0.0,618.0,5334.94
Abilio Brunini,14-20 MAR/24,https://www.youtube.com/watch?v=u0meJvIboLw,20-03-2024,YouTube,Vídeo,34,0.2312999999999999,0.0,147.0,31,3.0,0.0,170.14
André Fernandes,14-20 MAR/24,https://www.instagram.com/reel/C4rF39-PZYV/,18-03-2024,Instagram,Reels,111519,0.0677,280034.0,0.0,108389,3130.0,0.0,123647.11
André Fernandes,14-20 MAR/24,https://www.tiktok.com/@andrefernandes_br/video/7347861621244579077,18-03-2024,TikTok,Vídeo,5186,0.1452999999999999,0.0,35700.0,4333,396.0,457.0,11511.94
André Fernandes,14-20 MAR/24,https://www.instagram.com/reel/C4sjm4YOtJU/,19-03-2024,Instagram,Reels,108148,0.0655999999999999,280190.0,0.0,107041,1107.0,0.0,106914.26
André Fernandes,14-20 MAR/24,https://www.youtube.com/watch?v=pZk5rpRMl3w,19-03-2024,YouTube,Vídeo,2166,0.3394,0.0,6382.0,2051,115.0,0.0,8796.8
André Fernandes,14-20 MAR/24,https://www.tiktok.com/@andrefernandes_br/video/7348218964947848453,19-03-2024,TikTok,Vídeo,26306,0.1601,0.0,164300.0,25100,514.0,692.0,45067.92
André Fernandes,14-20 MAR/24,https://www.instagram.com/reel/C4v3RbmP7FB/,20-03-2024,Instagram,Reels,84947,0.0515,280346.0,0.0,81863,3084.0,0.0,100487.6
André Fernandes,14-20 MAR/24,https://www.youtube.com/watch?v=rZZn5QZFEik,20-03-2024,YouTube,Vídeo,27388,0.0771999999999999,0.0,354579.0,26105,1283.0,0.0,199280.44
André Fernandes,14-20 MAR/24,https://www.tiktok.com/@andrefernandes_br/video/7348541655898737925,20-03-2024,TikTok,Vídeo,1786,0.1406,0.0,12700.0,1731,22.0,33.0,3147.58
Antonio Carlos Rodrigues,14-20 MAR/24,https://www.instagram.com/p/C4gGLCmLI_S/,14-03-2024,Instagram,Foto,342,0.0096,8942.0,0.0,283,59.0,0.0,899.86
Antonio Carlos Rodrigues,14-20 MAR/24,https://www.instagram.com/p/C4jq4jJsGPz/,15-03-2024,Instagram,Foto,217,0.0060999999999999,8942.0,0.0,184,33.0,0.0,614.52
Antonio Carlos Rodrigues,14-20 MAR/24,https://www.instagram.com/reel/C4lBcIvsg3C/,16-03-2024,Instagram,Reels,154,0.0043,8942.0,0.0,128,26.0,0.0,512.46
Antonio Carlos Rodrigues,14-20 MAR/24,https://www.instagram.com/p/C4ny7EJL38o/,17-03-2024,Instagram,Foto,452,0.0126,8942.0,0.0,417,35.0,0.0,830.3
Antonio Carlos Rodrigues,14-20 MAR/24,https://www.instagram.com/p/C4tqHSRPtvn/,19-03-2024,Instagram,Foto,302,0.0084,8942.0,0.0,278,24.0,0.0,626.06
Antonio Carlos Rodrigues,14-20 MAR/24,https://www.instagram.com/p/C4wP3Rsvh4_/,20-03-2024,Instagram,Foto,288,0.0081,8942.0,0.0,245,43.0,0.0,743.98
Bia Kicis,14-20 MAR/24,https://www.instagram.com/p/C4rWnunJBbp/,18-03-2024,Instagram,Foto,60074,0.0308999999999999,330212.0,0.0,55429,4645.0,0.0,90901.53
Bia Kicis,14-20 MAR/24,https://www.youtube.com/watch?v=zx2b7INagYM,19-03-2024,YouTube,Vídeo,509,0.4214,0.0,1208.0,481,28.0,0.0,1984.27
Bia Kicis,14-20 MAR/24,https://www.instagram.com/p/C4sROsaP13D/,19-03-2024,Instagram,Foto,69578,0.0358,330212.0,0.0,67151,2427.0,0.0,83903.85
Bia Kicis,14-20 MAR/24,https://www.instagram.com/reel/C4sm_6hKqw0/,19-03-2024,Instagram,Reels,27980,0.0144,330212.0,0.0,25006,2974.0,0.0,51871.05
Bia Kicis,14-20 MAR/24,https://www.instagram.com/reel/C4s6iQKC1L8/,19-03-2024,Instagram,Reels,67695,0.0349,330212.0,0.0,65568,2127.0,0.0,80232.47
Bia Kicis,14-20 MAR/24,https://www.instagram.com/reel/C4tOTqEpvZs/,19-03-2024,Instagram,Reels,9399,0.0048,330212.0,0.0,9153,246.0,0.0,17231.87
Bia Kicis,14-20 MAR/24,https://www.instagram.com/reel/C4ti3_BpSy7/,19-03-2024,Instagram,Reels,29692,0.0153,330212.0,0.0,28888,804.0,0.0,38500.57
Bia Kicis,14-20 MAR/24,https://www.instagram.com/reel/C4ty8wWOuXn/,19-03-2024,Instagram,Reels,54335,0.0279999999999999,330299.0,0.0,49753,4582.0,0.0,85537.04
Bia Kicis,14-20 MAR/24,https://www.instagram.com/reel/C4uFXQEuX00/,19-03-2024,Instagram,Reels,56431,0.0289999999999999,330299.0,0.0,47597,8834.0,0.0,116423.28
