Nome,Conexão,Engajamento,Total de Posts,Top Post
Abilio Brunini,Jair Bolsonaro,312000,2,https://www.instagram.com/reel/C5ghCpwrJsY/
Abilio Brunini,Carla Zambeli,280000,15,https://www.instagram.com/p/CuVZVg4MJa-/
Abilio Brunini,Zucco,192000,1,https://www.instagram.com/reel/CyjX9HIuVIk/
Abilio Brunini,Júlia Zanatta,60100,3,https://www.instagram.com/reel/CxtRGWNO0t2/
Abilio Brunini,Marco Feliciano,51500,4,https://www.instagram.com/reel/C5gjS-fr9dk/
Abilio Brunini,Felipe Wellaton,49300,54,https://www.instagram.com/reel/CnFPT6-h_1J/
Abilio Brunini,Bia Kicis,41400,1,https://www.instagram.com/reel/Cr8BT9YgH6Z/
Abilio Brunini,Eduardo Bolsonaro,34400,2,https://www.instagram.com/reel/C5gzJ7uP88r/
Abilio Brunini,Magno Malta,33800,1,https://www.instagram.com/reel/C6mS7rpJT7S/
Abilio Brunini,Luiz Philippe de Orleans e Bragança,31100,1,https://www.instagram.com/p/CyMR7mgpHm_/
André Fernandes,Neymar Jr,5870000,1,https://www.instagram.com/p/C8V0hybuVjX/
André Fernandes,Eduardo Bolsonaro,1860000,54,https://www.instagram.com/reel/Ch2kBVugDIl
André Fernandes,Bia Kicis,748000,12,https://www.instagram.com/p/CQygg4zJ5LP/
André Fernandes,Jason Maia,677000,1,https://www.instagram.com/reel/Cxon3Utq5ht/
André Fernandes,Rodrigo Nogueira,605000,3,https://www.instagram.com/reel/C-y1_DkOvci/
André Fernandes,Flavio Bolsonaro,589000,28,https://www.instagram.com/reel/CYHr5rxJeF5
André Fernandes,Jair Bolsonaro,512000,5,https://www.instagram.com/reel/C-xlixUxyZv/
André Fernandes,Carla Zambeli,444000,52,https://www.instagram.com/tv/CEIW78QHSwr/
André Fernandes,Direita Da Opressão,364000,85,https://www.instagram.com/tv/CMaTZZDgGQP/
André Fernandes,Eduardo Pereira Rodrigues,292000,1,https://www.instagram.com/p/CxX49mbuHIb/
Antonio Carlos Rodrigues,Douglas Viegas,23700,1,https://www.instagram.com/p/C55B19gOLOl/
Antonio Carlos Rodrigues,Delegada Raquel,2810,4,https://www.instagram.com/reel/CelYYjPl-Ee
Antonio Carlos Rodrigues,Chuvisco,1930,5,https://www.instagram.com/p/CumzL3_gK1V/
Antonio Carlos Rodrigues,Soraia Leal,844,8,https://www.instagram.com/p/CvpBWnquERC/
Antonio Carlos Rodrigues,Luis Henrique,388,2,https://www.instagram.com/reel/C4YBfoCOMSe/
Antonio Carlos Rodrigues,Tom Maior,223,1,https://www.instagram.com/reel/CjLWWFajrg2/
Antonio Carlos Rodrigues,Renata Abreu,201,1,https://www.instagram.com/p/C8P69e6JM2p/
Antonio Carlos Rodrigues,Yuji Kuge,70,1,https://www.instagram.com/reel/CmuPwJ3hKIm/
Antonio Carlos Rodrigues,Magnani,11,1,https://www.instagram.com/p/C4Nqa7eOpj6/
Bia Kicis,Carla Zambeli,4090000,162,https://www.instagram.com/p/CuVZVg4MJa-/
Bia Kicis,Presidente do Brasil,3830000,2720,https://www.instagram.com/p/CKTmEQ9lL6A/
Bia Kicis,Eduardo Bolsonaro,2860000,156,https://www.instagram.com/reel/CrbBVM8AhWL/
Bia Kicis,Patrícia Pinheiro,929000,2450,https://www.instagram.com/tv/CGm2_3yJLJm/
Bia Kicis,Damares Alves,897000,29,https://www.instagram.com/reel/Cx3WQUmxxXc/
Bia Kicis,Jair Bolsonaro,896000,17,https://www.instagram.com/p/BnWHuM7HF_E/
Bia Kicis,Flávio Bolsonaro,743000,28,https://www.instagram.com/p/CRgd6hZJJ8T/
Bia Kicis,Nova Iguaçu com Bolsonaro,671000,301,https://www.instagram.com/p/CROp_RON4B-/
Bia Kicis,Mario Frias,559000,20,https://www.instagram.com/reel/C0NSZ_yu7q9/
Bia Kicis,Carlos Bolsonaro,473000,27,https://www.instagram.com/p/CAm_bHnAqfG/
Caroline De Toni,Carla Zambeli,1420000,45,https://www.instagram.com/reel/C8GGARQNIXm/
Caroline De Toni,Eduardo Bolsonaro,1160000,68,https://www.instagram.com/p/B3w82MLFalv/
Caroline De Toni,Bia Kicis,709000,37,https://www.instagram.com/p/CO5WoAvJoi0/
