NOME,GENERO,% SEGUIDORES GENERO,PLATAFORMA,SEGUIDORES,SEGUIDORES AUTÊNTICOS,SEGUIDORES GENERO
Abilio Brunini,FEMININO,0.4259,INSTAGRAM,290000,0.8732,123511.0
Abilio Brunini,MASCULINO,0.5741,INSTAGRAM,290000,0.8732,166489.00000000003
André Fernandes,FEMININO,0.3973,INSTAGRAM,1790000,0.8471,711167.0
André Fernandes,MASCULINO,0.6027,INSTAGRAM,1790000,0.8471,1078833.0
Antonio Carlos Rodrigues,FEMININO,0.3605,INSTAGRAM,39400,0.9099,14203.699999999999
Antonio Carlos Rodrigues,MASCULINO,0.6395,INSTAGRAM,39400,0.9099,25196.3
Bia Kicis,FEMININO,0.3819,INSTAGRAM,2020000,0.7931,771438.0
Bia Kicis,MASCULINO,0.6181,INSTAGRAM,2020000,0.7931,1248562.0
Caroline De Toni,FEMININO,0.272,INSTAGRAM,932000,0.8047,253504.00000000003
Caroline De Toni,MASCULINO,0.728,INSTAGRAM,932000,0.8047,678496.0
Chris Tonietto,FEMININO,0.4327,INSTAGRAM,224000,0.8014,96924.79999999999
Chris Tonietto,MASCULINO,0.5673,INSTAGRAM,224000,0.8014,127075.20000000001
Eduardo Bolsonaro,FEMININO,0.4347,INSTAGRAM,5880000,0.8517,2556036.0
Eduardo Bolsonaro,MASCULINO,0.5653,INSTAGRAM,5880000,0.8517,3323964.0
Gustavo Gayer,FEMININO,0.3965,INSTAGRAM,2050000,0.8498,812825.0
Gustavo Gayer,MASCULINO,0.6035,INSTAGRAM,2050000,0.8498,1237175.0
Josimar de Maranhãozinho,FEMININO,0.4854,INSTAGRAM,119000,0.8712,57762.6
Josimar de Maranhãozinho,MASCULINO,0.5146,INSTAGRAM,119000,0.8712,61237.399999999994
Nikolas Ferreira,FEMININO,0.4483,INSTAGRAM,11500000,0.9051,5155450.0
Nikolas Ferreira,MASCULINO,0.5517,INSTAGRAM,11500000,0.9051,6344550.0
Abilio Brunini,FEMININO,0.2407,X,44200,0.8732,10638.94
Abilio Brunini,MASCULINO,0.7593,X,44200,0.8732,33561.06
André Fernandes,FEMININO,0.3517,X,532000,0.8471,187104.4
André Fernandes,MASCULINO,0.6483,X,532000,0.8471,344895.6
Antonio Carlos Rodrigues,FEMININO,0.346,X,3010,0.9099,1041.4599999999998
Antonio Carlos Rodrigues,MASCULINO,0.654,X,3010,0.9099,1968.5400000000002
Bia Kicis,FEMININO,0.2373,X,2380000,0.7931,564774.0
Bia Kicis,MASCULINO,0.7627,X,2380000,0.7931,1815226.0
Caroline De Toni,FEMININO,0.2195,X,850000,0.8047,186575.0
Caroline De Toni,MASCULINO,0.7805,X,850000,0.8047,663425.0
Chris Tonietto,FEMININO,0.2549,X,112000,0.8014,28548.800000000003
