NOME,IDADE,% SEGUIDORES IDADE,PLATAFORMA,SEGUIDORES,SEGUIDORES AUTÊNTICOS,SEGUIDORES IDADE
Abilio Brunini,13-17,0.01,INSTAGRAM,290000,0.8732,2900.0
Abilio Brunini,18-20,0.04,INSTAGRAM,290000,0.8732,11600.0
Abilio Brunini,21-24,0.1,INSTAGRAM,290000,0.8732,29000.0
Abilio Brunini,25-29,0.19,INSTAGRAM,290000,0.8732,55100.0
Abilio Brunini,30-34,0.28,INSTAGRAM,290000,0.8732,81200.00000000001
Abilio Brunini,35-44,0.28,INSTAGRAM,290000,0.8732,81200.00000000001
Abilio Brunini,45-54,0.1,INSTAGRAM,290000,0.8732,29000.0
Abilio Brunini,55-64,0.0,INSTAGRAM,290000,0.8732,0.0
Abilio Brunini,65+,0.0,INSTAGRAM,290000,0.8732,0.0
André Fernandes,13-17,0.01,INSTAGRAM,1790000,0.8471,17900.0
André Fernandes,18-20,0.07,INSTAGRAM,1790000,0.8471,125300.00000000001
André Fernandes,21-24,0.13,INSTAGRAM,1790000,0.8471,232700.0
André Fernandes,25-29,0.21,INSTAGRAM,1790000,0.8471,375900.0
André Fernandes,30-34,0.27,INSTAGRAM,1790000,0.8471,483300.00000000006
André Fernandes,35-44,0.24,INSTAGRAM,1790000,0.8471,429600.0
André Fernandes,45-54,0.07,INSTAGRAM,1790000,0.8471,125300.00000000001
André Fernandes,55-64,0.0,INSTAGRAM,1790000,0.8471,0.0
André Fernandes,65+,0.0,INSTAGRAM,1790000,0.8471,0.0
Antonio Carlos Rodrigues,13-17,0.0,INSTAGRAM,39400,0.9099,0.0
Antonio Carlos Rodrigues,18-20,0.01,INSTAGRAM,39400,0.9099,394.0
Antonio Carlos Rodrigues,21-24,0.04,INSTAGRAM,39400,0.9099,1576.0
Antonio Carlos Rodrigues,25-29,0.09,INSTAGRAM,39400,0.9099,3546.0
Antonio Carlos Rodrigues,30-34,0.18,INSTAGRAM,39400,0.9099,7092.0
Antonio Carlos Rodrigues,35-44,0.32,INSTAGRAM,39400,0.9099,12608.0
Antonio Carlos Rodrigues,45-54,0.24,INSTAGRAM,39400,0.9099,9456.0
Antonio Carlos Rodrigues,55-64,0.12,INSTAGRAM,39400,0.9099,4728.0
Antonio Carlos Rodrigues,65+,0.0,INSTAGRAM,39400,0.9099,0.0
Bia Kicis,13-17,0.01,INSTAGRAM,2020000,0.7931,20200.0
Bia Kicis,18-20,0.03,INSTAGRAM,2020000,0.7931,60600.0
Bia Kicis,21-24,0.05,INSTAGRAM,2020000,0.7931,101000.0
Bia Kicis,25-29,0.1,INSTAGRAM,2020000,0.7931,202000.0
