NOME,ESTADO,PLATAFORMA,% SEGUIDORES ESTADO,SEGUIDORES,SEGUIDORES ESTADO,LATITUDE,LONGITUDE
Abilio Brunini,Califórnia (EUA),INSTAGRAM,0.0009,290000,261.0,36.82390517817841,-119.382302600918
Abilio Brunini,Flórida (EUA),INSTAGRAM,0.0015,290000,435.0,28.0339051781784,-81.722302600918
Josimar de Maranhãozinho,Flórida (EUA),INSTAGRAM,0.0009,119000,107.1,27.994429274890514,-81.68024121610091
Abilio Brunini,Goiás,INSTAGRAM,0.0060999999999999,290000,1768.999999999971,-16.5960948218216,-49.272302600918
André Fernandes,Goiás,INSTAGRAM,0.0323,1790000,57817.00000000001,-16.59831769727047,-49.26086325155335
Bia Kicis,Goiás,INSTAGRAM,0.0524,2020000,105848.0,-16.560935775200146,-49.30526908701384
Caroline De Toni,Goiás,INSTAGRAM,0.0481,932000,44829.2,-16.556329061454132,-49.260010004641586
Chris Tonietto,Goiás,INSTAGRAM,0.0273,224000,6115.200000000001,-16.587246938879904,-49.28320659460522
Eduardo Bolsonaro,Goiás,INSTAGRAM,0.0596,5880000,350448.0,-16.607317906196354,-49.28339023364825
Gustavo Gayer,Goiás,INSTAGRAM,0.2155,2050000,441775.0,-16.559834538714714,-49.240664123646106
Josimar de Maranhãozinho,Goiás,INSTAGRAM,0.0165,119000,1963.5,-16.635570725109485,-49.23024121610091
Nikolas Ferreira,Goiás,INSTAGRAM,0.06,11500000,690000.0,-16.576747790560542,-49.26397905176524
Abilio Brunini,Mato Grosso,INSTAGRAM,0.9283,290000,269207.0,-12.596094821821598,-55.382302600918
Antonio Carlos Rodrigues,Mato Grosso,INSTAGRAM,0.0112,39400,441.28,-12.560352053804428,-55.38028894744255
Abilio Brunini,Mato Grosso,X,0.01,44200,442.0,-12.596094821821598,-55.382302600918
Abilio Brunini,Minas Gerais,INSTAGRAM,0.0054,290000,1566.0,-18.0560948218216,-44.342302600918
André Fernandes,Minas Gerais,INSTAGRAM,0.04,1790000,71600.0,-18.05831769727047,-44.33086325155335
Bia Kicis,Minas Gerais,INSTAGRAM,0.0721,2020000,145642.0,-18.020935775200147,-44.37526908701384
Caroline De Toni,Minas Gerais,INSTAGRAM,0.0583,932000,54335.6,-18.016329061454133,-44.330010004641586
Chris Tonietto,Minas Gerais,INSTAGRAM,0.0644,224000,14425.6,-18.047246938879905,-44.35320659460522
