Nome,Data,Plataforma,Total de Posts,Engajamento Total,Engajamento Médio,Taxa de Engajamento,VMG
Abilio Brunini,14-20 MAR/24,Total,11.0,179137,16285.2,0.2376,377805.68
Abilio Brunini,14-20 MAR/24,Instagram,3.0,179137,16285.2,0.2376,377805.68
Abilio Brunini,14-20 MAR/24,TikTok,3.0,179137,16285.2,0.2376,377805.68
Abilio Brunini,14-20 MAR/24,X,2.0,179137,16285.2,0.2376,377805.68
Abilio Brunini,14-20 MAR/24,YouTube,3.0,179137,16285.2,0.2376,377805.68
André Fernandes,14-20 MAR/24,Total,8.0,367446,45930.8,0.1309,598853.65
André Fernandes,14-20 MAR/24,Instagram,3.0,367446,45930.8,0.1309,598853.65
André Fernandes,14-20 MAR/24,TikTok,3.0,367446,45930.8,0.1309,598853.65
André Fernandes,14-20 MAR/24,X,0.0,367446,45930.8,0.1309,598853.65
André Fernandes,14-20 MAR/24,YouTube,2.0,367446,45930.8,0.1309,598853.65
Antonio Carlos Rodrigues,14-20 MAR/24,Total,6.0,1755,292.5,0.0081999999999999,4227.18
Antonio Carlos Rodrigues,14-20 MAR/24,Instagram,6.0,1755,292.5,0.0081999999999999,4227.18
Antonio Carlos Rodrigues,14-20 MAR/24,TikTok,0.0,1755,292.5,0.0081999999999999,4227.18
Antonio Carlos Rodrigues,14-20 MAR/24,X,0.0,1755,292.5,0.0081999999999999,4227.18
Antonio Carlos Rodrigues,14-20 MAR/24,YouTube,0.0,1755,292.5,0.0081999999999999,4227.18
Bia Kicis,14-20 MAR/24,Total,17.0,744510,43794.7,0.0650999999999999,1122393.19
Bia Kicis,14-20 MAR/24,Instagram,15.0,744510,43794.7,0.0650999999999999,1122393.19
Bia Kicis,14-20 MAR/24,TikTok,0.0,744510,43794.7,0.0650999999999999,1122393.19
Bia Kicis,14-20 MAR/24,X,0.0,744510,43794.7,0.0650999999999999,1122393.19
Bia Kicis,14-20 MAR/24,YouTube,2.0,744510,43794.7,0.0650999999999999,1122393.19
Caroline De Toni,14-20 MAR/24,Total,36.0,206510,5736.4,0.0177,385420.55
Caroline De Toni,14-20 MAR/24,Instagram,14.0,206510,5736.4,0.0177,385420.55
Caroline De Toni,14-20 MAR/24,TikTok,0.0,206510,5736.4,0.0177,385420.55
Caroline De Toni,14-20 MAR/24,X,22.0,206510,5736.4,0.0177,385420.55
Caroline De Toni,14-20 MAR/24,YouTube,0.0,206510,5736.4,0.0177,385420.55
Chris Tonietto,14-20 MAR/24,Total,3.0,10534,3511.3,0.0157,15994.1
Chris Tonietto,14-20 MAR/24,Instagram,3.0,10534,3511.3,0.0157,15994.1
Chris Tonietto,14-20 MAR/24,TikTok,0.0,10534,3511.3,0.0157,15994.1
Chris Tonietto,14-20 MAR/24,X,0.0,10534,3511.3,0.0157,15994.1
Chris Tonietto,14-20 MAR/24,YouTube,0.0,10534,3511.3,0.0157,15994.1
Eduardo Bolsonaro,14-20 MAR/24,Total,56.0,1671964,29856.5,0.0552,3356210.92
Eduardo Bolsonaro,14-20 MAR/24,Instagram,17.0,1671964,29856.5,0.0552,3356210.92
Eduardo Bolsonaro,14-20 MAR/24,TikTok,0.0,1671964,29856.5,0.0552,3356210.92
Eduardo Bolsonaro,14-20 MAR/24,X,35.0,1671964,29856.5,0.0552,3356210.92
Eduardo Bolsonaro,14-20 MAR/24,YouTube,4.0,1671964,29856.5,0.0552,3356210.92
Gustavo Gayer,14-20 MAR/24,Total,26.0,1220318,46935.3,0.0542,1772408.18
Gustavo Gayer,14-20 MAR/24,Instagram,19.0,1220318,46935.3,0.0542,1772408.18
Gustavo Gayer,14-20 MAR/24,TikTok,6.0,1220318,46935.3,0.0542,1772408.18
Gustavo Gayer,14-20 MAR/24,X,0.0,1220318,46935.3,0.0542,1772408.18
Gustavo Gayer,14-20 MAR/24,YouTube,1.0,1220318,46935.3,0.0542,1772408.18
Josimar de Maranhãozinho,14-20 MAR/24,Total,8.0,2527,315.9,0.0054,7410.78
Josimar de Maranhãozinho,14-20 MAR/24,Instagram,7.0,2527,315.9,0.0054,7410.78
Josimar de Maranhãozinho,14-20 MAR/24,TikTok,1.0,2527,315.9,0.0054,7410.78
Josimar de Maranhãozinho,14-20 MAR/24,X,0.0,2527,315.9,0.0054,7410.78
